U.S. Emissions by Economic Sector MMT CO2 eq.,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Transportation,1526.434289,1480.303906,1539.881716,1576.887693,1631.84286,1667.019781,1723.249166,1749.849331,1792.295979,1863.292088,1913.55078,1885.434886,1925.980857,1933.326749,1965.852074,1975.495128,1975.865366,1974.426677,1870.90605,1796.295048,1802.276351,1768.59536,1748.912231,1751.515531,1785.407075,1793.399368,1828.045564,1845.16261,1874.726295,1874.291138,1627.618555
Electric power industry,1880.548218,1874.832994,1890.103637,1965.574487,1990.300202,2006.87748,2079.434227,2144.903577,2231.446285,2244.837094,2351.125685,2311.387024,2326.759449,2357.952283,2390.768614,2456.73709,2401.231384,2467.226239,2414.114946,2198.273322,2313.956993,2211.767283,2073.78562,2092.343184,2092.5328,1952.725753,1860.497992,1780.55203,1799.826648,1650.961498,1482.182865
Industry,1652.361348,1625.461259,1662.343992,1631.906633,1657.477536,1675.133984,1705.045256,1705.17277,1677.755099,1627.052157,1616.991263,1569.909847,1550.9615,1529.061153,1577.981113,1536.17642,1570.640402,1560.386569,1501.553646,1345.926535,1438.77876,1443.335476,1440.040968,1489.536433,1474.546661,1464.017871,1424.355203,1446.687191,1507.64746,1521.665941,1426.194536
Agriculture,596.7782037,587.4933791,588.301071,616.3677197,603.4730438,615.6694674,622.9079529,611.3285207,618.246994,609.2897439,594.8543002,615.5265572,618.6742482,618.9622898,631.722629,626.2532138,625.7865013,642.7207482,631.0310541,632.8604701,641.0292595,622.7172211,606.4525784,645.1572755,654.1143399,656.1010386,643.4202707,644.3957277,657.9149823,663.8956688,635.1059606
Commercial,427.1097945,434.3210719,429.9390699,423.3667576,426.5831602,425.6963637,433.3072282,425.7958774,400.5410056,396.9265023,411.1952894,400.2090783,401.730691,417.9651174,415.7778277,405.4424321,391.9017623,405.856004,413.1665119,416.9037851,419.2903162,415.0676612,396.0250101,419.3419598,429.6005258,442.0847198,426.9066423,428.48605,444.2334991,452.1397884,425.3125143
Residential,345.0707892,354.6897497,361.2220248,372.6124987,363.2601466,367.5235211,399.4548027,380.8286588,346.8732536,366.6844584,387.9925386,378.0768838,375.2866689,393.7289434,381.8524349,371.0155287,334.3094,355.2548552,363.9069816,354.5451475,355.5391842,349.0938093,306.9431239,357.7310858,378.2769923,351.469522,327.8126346,329.8809699,377.3688578,384.1781584,361.9522568
U.S. territories,25.14758023,25.83656216,25.49856898,26.67996106,27.84122675,27.44301842,27.52694806,28.33435376,27.67477376,30.05867129,51.88335283,58.61869795,59.76373493,62.83154615,64.49295137,63.70812639,61.06645236,57.91531534,45.96435884,42.4604183,36.57139767,34.5103086,34.36423205,28.86874846,28.87742838,29.20785468,26.83272455,25.81080754,25.79483045,24.59355442,22.98768482
