time_s,vx_meas,vy_meas,r_meas,ax_meas,ay_meas,vx_est,vy_est,r_est,phi_est,phi_dot_est,Fxf_est,Fxr_est,Fyf_est,Fyr_est,Fx_fl_est,Fx_fr_est,Fx_rl_est,Fx_rr_est,Fy_fl_est,Fy_fr_est,Fy_rl_est,Fy_rr_est,Fz_fl_meas,Fz_fr_meas,Fz_rl_meas,Fz_rr_meas,Fz_fl_est,Fz_fr_est,Fz_rl_est,Fz_rr_est,kappa_fl,kappa_fr,kappa_rl,kappa_rr,mu_fl,mu_fr,mu_rl,mu_rr
0,8.90586739778761,-0.194915416376657,-0.0123866455576667,0.888012559068873,0.24933102342717,8.90587317409329,-0.19467549173993,-0.0123862649840452,0,0.00205763707754633,21.5469089632716,21.5469089632716,6.04957071913525,6.04958754198737,10.7734585377588,10.7734504255128,10.7734580184381,10.7734509448335,3.02478535956763,3.02478535956763,3.02479377099368,3.02479377099368,339475.964199786,340649.215048528,463763.049548635,466273.014908144,346364.825172276,347653.215265842,451889.94124043,454130.727824943,0.0121072202977345,0.00629616397970241,0.00502477101046224,0.0129086508575952,3.23070576897385e-05,3.21873064505617e-05,2.47627334468536e-05,2.46405333670569e-05
0.02,8.46436863611588,-0.0520200770713923,0.00111568634786918,0.535198333649657,0.814068614407275,8.67550604350683,-0.11937230310107,-0.00116308012642662,4.11527415509266e-05,0.00876501576340455,35.4490208377534,35.4490208377533,27.7312748891616,27.6178794973936,17.6971698911364,17.7518509466169,17.7006704018988,17.7483504358545,13.8656374445808,13.8656374445808,13.8089397486968,13.8089397486968,297129.546091879,339731.166066094,453979.975076158,461051.459135069,321539.919511896,344819.447517203,451137.887517489,458481.481525528,0.0380959128199679,0.0403271374650478,0.0447121334606364,0.0371866367594815,6.99201521467918e-05,6.53245882489737e-05,4.97629598038728e-05,4.90479330584256e-05
0.04,9.03498581564746,-0.261531317935303,-0.00634285169652656,0.642990175663462,0.51266796808274,8.82621940446067,-0.178777512025652,-0.00543292481059496,0.000216453056819018,0.0129480112173936,54.2316152274974,54.2316152274974,42.2378328381126,42.1799188236803,27.1018440858359,27.1297711416615,27.1036318889172,27.1279833385801,21.1189164190563,21.1189164190563,21.0899594118401,21.0899594118401,334006.536098417,323038.864641043,439954.718786838,446968.842833253,327212.813860827,335765.785086529,445466.562244629,454136.69019609,0.0233057684424082,0.0332139189845626,0.0199290776136812,0.0261394331604312,0.000105004064833992,0.000102394913264525,7.70928690403877e-05,7.56633806428915e-05
0.06,9.15496448203261,-0.33400060456786,0.00270955595579018,0.441159622687369,0.684845319028237,8.95195872418405,-0.237695521334062,0.00133828750757999,0.00047541328116689,0.0185225260835217,68.2914858661102,68.2914858661102,63.1791514575572,63.0269889963252,34.1090553575948,34.1824305085154,34.1137526060885,34.1777332600217,31.5895757287786,31.5895757287786,31.5134944981626,31.5134944981626,348542.224381989,348069.068510705,476956.131371556,495946.926737765,336423.173410739,342930.101742951,457209.796097625,472295.450775962,0.00381897501176747,0.0180154780961774,0.0142217092860637,0.0058181998587015,0.000138189336760146,0.000135724323620323,0.000101576744243448,9.84318174702242e-05
0.08,9.54657124258297,-0.306243145550065,-0.0185055562398127,0.871450753331083,0.27558272403232,9.17083421566451,-0.262717031542594,-0.0150912369537512,0.000845863802837323,0.0206793043937839,98.1193160551555,98.1193160551555,72.0027171809535,72.101149297838,49.083390791143,49.0359252640126,49.0803521960189,49.0389638591366,36.0013585904767,36.0013585904767,36.050574648919,36.050574648919,325953.337472158,377630.077988126,461015.960902572,457403.452459112,330862.018538117,356668.717767564,458697.740831724,465928.244525383,-0.00948877999925246,-0.0108399530265475,-0.00994813816432298,0.00151731633602936,0.000183976956256122,0.00017055804637704,0.000132762064963744,0.000130630216267598
0.1,8.8668696999433,-0.110800498010037,0.0285237719751325,0.628027794628505,0.6111654038755,9.06076847287393,-0.206682610756896,0.0210143403622511,0.001259449890713,0.0255785735435749,119.573174698517,119.573174698517,94.1379913291599,93.6455554360147,59.6678571523176,59.9053175461999,59.6830586267061,59.8901160718113,47.06899566458,47.06899566458,46.8227777180074,46.8227777180074,320832.746133634,329126.75118529,460132.611857074,482725.309455273,326159.084193899,344823.703965586,457572.49702236,473108.918982316,0.00643792409009225,-0.0100633135246585,0.00787791720158747,-0.00103897899510744,0.000233009952387528,0.000220938667655156,0.000165783620692884,0.000160684013570738
0.12,9.1232556350068,0.185205828689087,0.00640363354682419,0.590830302795027,0.45055071076971,9.08323727394015,-0.0677078537779287,0.00883704224877461,0.0017710213615845,0.0291091490268256,141.776632169476,141.776632169476,111.770087701909,111.488474101204,70.8204168135063,70.9562153559702,70.8291102129887,70.9475219564878,55.8850438509545,55.8850438509545,55.744237050602,55.744237050602,302434.612791586,378434.290363794,454625.851910809,444695.653564214,316535.119378688,359195.431757836,454909.336528887,460463.048857379,0.00365853293183157,0.00439259044421776,0.00512456387062142,-0.00074711867709841,0.000285006527224712,0.000251454253415724,0.000198136731045701,0.000195949118780228
0.14,8.86296210638922,-0.0634576459969077,0.00875190033115868,0.624544970427086,0.297690775251692,9.00419630172716,-0.0671873912892053,0.00876589664591299,0.00235320434212101,0.0313381059514317,165.878006226264,165.878006226264,123.521833663961,123.241547182666,82.871423820909,83.0065824053552,82.8800762522735,82.9979299739908,61.7609168319804,61.7609168319804,61.6207735913332,61.6207735913332,337444.183119609,367817.832628973,395173.372930599,465816.292939856,326387.495716442,361665.173201886,429249.078127844,462657.727267477,0.0134078144825668,0.00163282302242372,0.0246170967619725,0.00030985048267983,0.000316660925623262,0.000286072805826668,0.000240600228481448,0.000223430889926177
0.16,8.79965895670281,0.0556521703818527,0.000547639577367733,0.616285868186098,0.442291066692787,8.93089172659565,-0.0239547285561522,0.00193515103857487,0.00297996646114965,0.0347241514876732,190.978654117054,190.978654117054,142.219553340185,142.073145690522,95.4540270137492,95.5246271033044,95.4585466114625,95.5201075055911,71.1097766700923,71.1097766700923,71.036572845261,71.036572845261,310710.679004602,387502.491832218,413836.982746937,470408.751725396,320023.340073748,371388.399085444,423708.102203568,465943.708072243,0.0146179798912931,0.0284922302874474,0.0342452946927098,0.0238098639074444,0.000371940711937537,0.000320651731049361,0.000280829221217442,0.000255479378199472
0.18,9.16388048394638,-0.0509279514226525,0.0134577455165617,0.701103402960483,0.14050467543755,9.01442943928887,-0.0340341077761566,0.0114855746347695,0.00367444949090311,0.0355754538450901,222.408054498511,222.408054498511,148.349260442418,148.004610540031,111.120929426055,111.287125072456,111.131568753401,111.27648574511,74.1746302212091,74.1746302212091,74.0023052700153,74.0023052700153,310822.630513551,327603.342090195,415278.449632793,466238.543587856,317093.119478578,350565.774829963,422403.435253764,465549.444809606,0.0126907505475194,0.00959721110022081,0.0266943026973991,0.0126425355105728,0.000421336505481018,0.000381500926339393,0.000316086839059725,0.000287051812173011
