Temperature_F,Pressure_bar
0,0.00148240193120262
1,0.00155448874430399
2,0.00162968431173921
3,0.00170810471661686
4,0.00178986965639253
5,0.00187510253046331
6,0.00196393052916021
7,0.00205648472414362
8,0.00215290016020658
9,0.0022533159484906
10,0.00235787536111785
11,0.00246672592724394
12,0.00258001953053452
13,0.00269791250806897
14,0.00282056575067388
15,0.00294814480468898
16,0.00308081997516733
17,0.0032187664305118
18,0.00336216430854902
19,0.00351119882404183
20,0.00366606037764117
21,0.00382694466627723
22,0.0039940527949903
23,0.00416759139020047
24,0.00434777271441569
25,0.00453481478237682
26,0.00472894147863815
27,0.00493038267658169
28,0.00513937435886256
29,0.00535615873928327
30,0.00558098438609345
31,0.00581410634671198
32,0.00605578627386739
33,0.0063062925531528
34,0.00656590043199048
35,0.00683489215000141
36,0.00711355707077447
37,0.00740219181502963
38,0.00770110039516915
39,0.0080105943512104
40,0.00833099288809374
41,0.00866262301435784
42,0.00900581968217583
43,0.00936092592874346
44,0.00972829301901186
45,0.010108280589756
46,0.0105012567949699
47,0.0109075984525796
48,0.0113276911924637
49,0.0117619296057723
50,0.0122107173955335
51,0.012674467528537
52,0.013153602388483
53,0.013648553930387
54,0.0141597638362263
55,0.0146876836718184
56,0.0152327750449176
57,0.0157955097645173
58,0.016376370001346
59,0.0169758484495421
60,0.0175944484894951
61,0.0182326843518388
62,0.0188910812825824
63,0.0195701757093645
64,0.0202705154088158
65,0.0209926596750149
66,0.0217371794890219
67,0.0225046576894739
68,0.0232956891442265
69,0.0241108809230256
70,0.0249508524711912
71,0.0258162357842987
72,0.0267076755838387
73,0.0276258294938384
74,0.028571368218428
75,0.0295449757203328
76,0.0305473494002738
77,0.0315792002772576
78,0.0326412531697384
79,0.0337342468776316
80,0.0348589343651613
81,0.0360160829445215
82,0.0372064744603321
83,0.0384309054748697
84,0.0396901874540539
85,0.0409851469541665
86,0.042316625809289
87,0.0436854813194301
88,0.0450925864393296
89,0.0465388299679133
90,0.0480251167383799
91,0.0495523678088989
92,0.0511215206538964
93,0.0527335293559096
94,0.0543893647979867
95,0.0560900148566097
96,0.0578364845951223
97,0.0596297964576352
98,0.06147099046339
99,0.0633611244015602
100,0.065301274026463
101,0.0672925332531643
102,0.0693360143534487
103,0.0714328481521385
104,0.0735841842237313
105,0.0757911910893404
106,0.0780550564139098
107,0.0803769872036825
108,0.0827582100039012
109,0.0851999710967135
110,0.0877035366992621
111,0.0902701931619365
112,0.0929012471667595
113,0.0955980259258893
114,0.0983618773802108
115,0.101194170397995
116,0.104096294973599
117,0.107069662426188
118,0.110115705598453
119,0.113235879055302
120,0.116431659282495
121,0.119704544885213
122,0.123056056786519
123,0.12648773842571
124,0.130001155956506
125,0.13359789844509
126,0.137279578067939
127,0.141047830309449
128,0.14490431415932
129,0.148850712309673
130,0.152888731351884
131,0.157020101973111
132,0.161246579152487
133,0.165569942356956
134,0.169991995736729
135,0.17451456832034
136,0.179139514209282
137,0.183868712772184
138,0.188704068838525
139,0.193647512891857
140,0.198701001262499
141,0.20386651631971
142,0.209146066663289
143,0.21454168731459
144,0.220055439906943
145,0.225689412875434
146,0.231445721646043
147,0.237326508824104
148,0.243333944382085
149,0.249470225846628
150,0.255737578484876
