0,0,0,0
500,-4.8533,53.985,104.5
600,-5.824,56.144,110
700,-6.7947,58.304,115.5
800,-7.7654,60.463,121
900,-8.736,62.622,126.5
1000,-9.7067,64.782,132
1100,-10.677,69.101,136.4
1200,-11.648,73.419,140.8
1300,-12.619,77.738,145.2
1400,-13.589,82.057,149.6
1500,-14.56,86.376,154
1600,-15.531,90.695,157.3
1700,-16.501,95.013,160.6
1800,-17.472,99.332,163.9
1900,-18.443,103.65,167.2
2000,-19.413,107.97,170.5
2100,-20.384,110.13,173.8
2200,-21.355,112.29,177.1
2300,-22.325,114.45,180.4
2400,-23.296,116.61,183.7
2500,-24.267,118.38,187
2600,-25.237,119.08,191.4
2700,-26.208,118.02,193.16
2800,-27.179,117.55,194.92
2900,-28.149,114.3,196.68
3000,-29.12,111.37,201.3
3100,-30.091,109.42,231.55
3200,-31.061,106.11,284.45
3300,-32.032,101.86,332.2
3400,-33.003,97.953,388.55
3500,-33.973,94.52,440.36
3600,-34.944,91.07,481.61
3700,-35.915,87.939,502.59
3800,-36.885,83.761,508.45
3900,-37.856,79.081,506.63
4000,-38.827,75.004,507.75
4100,-39.797,71.094,515.97
4200,-40.768,66.919,523.81
4300,-41.739,64.542,526.56
4400,-42.709,65.857,526.09
4500,-43.68,62.923,526.16
4600,-44.651,59.549,526.69
4700,-45.621,57.521,526.11
4800,-46.592,55.518,525.82
4900,-47.563,52.033,526.99
5000,-48.534,49.21,524.88
5100,-49.504,46.116,520.73
5200,-50.475,42.33,517.36
5300,-51.446,39.27,514.7
5400,-52.416,37.704,512.97
5500,-53.387,36.058,513.24
5600,-54.358,33.712,511.55
5700,-55.328,31.13,509.74
5800,-56.299,28.548,507.78
5900,-57.27,25.966,504.09
6000,-58.24,23.385,501.43
6100,-59.211,20.803,498.44
6200,-60.182,18.221,489.96
6300,-61.152,15.64,481.31
6400,-62.123,13.082,473.87
6500,-63.094,10.495,464.66
6600,-64.064,7.924,454.55
6700,-65.035,5.3326,443.65
6800,-66.006,2.7412,432.88
6900,-66.976,0.1497,424.99
7000,-67.947,-2.4417,410.3
7100,-68.918,-5.0332,341.44
7200,-69.888,-7.6246,272.58
7300,-70.859,-10.216,203.72
7400,-71.83,-12.808,134.86
7500,-72.8,-15.399,66
